linha_id,linha,sistema,subsistema,operador,fase,etapa,status,placemark,segmento,ordem_ponto,latitude,longitude,origem_aba,cidade,estacao_id,distrito
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,665,-23.546872788766,-46.6605747539727,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,666,-23.5468838231662,-46.6605331370947,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,667,-23.5468938325295,-46.6604955169303,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,668,-23.5469106196046,-46.6604328571195,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,669,-23.5469241721018,-46.6603827885258,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,670,-23.5469406366256,-46.6603227821755,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,671,-23.5469552608929,-46.6602703687543,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,672,-23.5469719729836,-46.6602116474938,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,673,-23.5469874777116,-46.6601583918586,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,674,-23.547004751778,-46.6601005498061,metropolitano,São Paulo,angelica,kml_84
