route_id,route_short_name,route_long_name,agency_id,sistema,subsistema,status,grupo_mode,lote_mode,empresa_mode,consorcio_operador,area_operacional_num_1a9,nome,area_operacional_hex_cor,cidade
702U-22,702U-22,Metrô Butantã - Term. Pq. D. Pedro Ii,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR8,Gato Preto,Gato Preto,8.0,Área 8,#FF5205,São Paulo
7040-10,7040-10,Paraisópolis - Pinheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D13,Alfa Rodobus,Alfa Rodobus,,,,São Paulo
7049-10,7049-10,Pq. Do Lago - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7050-10,7050-10,Jd. Das Rosas - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR7,KBPX,KBPX,7.0,Área 7,#990000,São Paulo
7051-10,7051-10,Jd. Rosana - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7052-10,7052-10,Jd. Helga - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7053-10,7053-10,Jd. Macedônia - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7053-21,7053-21,Jd. Maria Sampaio - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7053-22,7053-22,Jd. Maria Sampaio - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7054-10,7054-10,Jd. Macedônia - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7055-10,7055-10,Jd. Guarujá - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7057-10,7057-10,Jd. Mitsutani - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7059-10,7059-10,Pq. Do Engenho - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
7060-10,7060-10,Valo Velho - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR9,Ambiental,Consórcio Transvida Ambiental / Transpass / Campo Belo,9.0,Área 9,#E6E6E6,São Paulo
7062-10,7062-10,Inocoop Campo Limpo - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7062-31,7062-31,Inocoop Campo Limpo - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7062-41,7062-41,Metrô Campo Limpo - Horto Do Ypê,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7063-10,7063-10,Jd. Macedônia - Term. Campo Limpo,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
707A-10,707A-10,Jd. âNgela - Metrô Pça. Da áRvore,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
707A-23,707A-23,Piraporinha - Moema,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
707K-10,707K-10,Term. Guarapiranga - Metrô Jabaquara,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR7,KBPX,KBPX,7.0,Área 7,#990000,São Paulo
